Conc,Response,Salvage_mix,Cell_line,Vol
0,42879407,No,143B,88.8
0,1405647,No,143B,88.8
0,9268487,No,143B,88.8
0.5,19190612093,No,143B,224.9
0.5,24808932849,No,143B,224.9
0.5,21594226776,No,143B,224.9
0.8,58635219203,No,143B,541
0.8,57451868415,No,143B,541
0.8,61526775757,No,143B,541
1,25066512466,No,143B,152.9
1,26666843122,No,143B,152.9
1,22645861989,No,143B,152.9
1.2,60283587931,No,143B,363
1.2,56697525269,No,143B,363
1.2,59697389911,No,143B,363
0,8225077,Yes,143B,136.8
0,12784557,Yes,143B,136.8
0,2101411,Yes,143B,136.8
0.5,9314860387,Yes,143B,71.5
0.5,10308700922,Yes,143B,71.5
0.5,10115301348,Yes,143B,71.5
0.8,32007736686,Yes,143B,214.7
0.8,32672115999,Yes,143B,214.7
0.8,33286064136,Yes,143B,214.7
1,25209252277,Yes,143B,121.1
1,24756466532,Yes,143B,121.1
1,22657285374,Yes,143B,121.1
1.2,51818367026,Yes,143B,393
1.2,58839715859,Yes,143B,393
1.2,60464791097,Yes,143B,393
1.6,1.04513E+11,Yes,143B,651
1.6,1.03856E+11,Yes,143B,651
1.6,1.25168E+11,Yes,143B,651
0,5887010,No,H1299,215.9
0,2264911,No,H1299,215.9
0,956902,No,H1299,215.9
1,49806824774,No,H1299,332.2
1,50645475423,No,H1299,332.2
1,45472433104,No,H1299,332.2
2,54448451853,No,H1299,215.7
2,55879721707,No,H1299,215.7
2,56866644839,No,H1299,215.7
4,87131673913,No,H1299,214.3
4,90556068370,No,H1299,214.3
4,91085205243,No,H1299,214.3
8,3.27979E+11,No,H1299,700
8,3.49322E+11,No,H1299,700
8,3.2137E+11,No,H1299,700
16,1.92729E+12,No,H1299,700
16,1.89669E+12,No,H1299,700
16,1.97938E+12,No,H1299,700
0,1149905,Yes,H1299,231.9
0,906918,Yes,H1299,231.9
0,217330,Yes,H1299,231.9
1,44540457472,Yes,H1299,309
1,50861657687,Yes,H1299,309
1,45708230409,Yes,H1299,309
2,31718966199,Yes,H1299,94.8
2,32154195131,Yes,H1299,94.8
2,35082020962,Yes,H1299,94.8
4,92703255948,Yes,H1299,271.3
4,99724989159,Yes,H1299,271.3
4,1.02194E+11,Yes,H1299,271.3
8,1.53913E+11,Yes,H1299,256.1
8,1.50318E+11,Yes,H1299,256.1
8,1.53694E+11,Yes,H1299,256.1
16,3.36453E+11,Yes,H1299,700
16,3.37713E+11,Yes,H1299,700
16,2.6073E+11,Yes,H1299,700